taxi_zone,time_stamp,time_interval,arr_weekday,arr_weekend,avg_weekday,avg_weekend,prob_pu_weekday,prob_pu_weekend,prob_near_arr_weekday,prob_near_arr_weekend
1,1,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,2,00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,3,01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,4,01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,5,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,6,02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,7,03:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,8,03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,9,04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,10,04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,11,05:00:00,1.0,1.9375000000000024,1.0,1.0,0.6321205588285577,0.855936340898547,1,1
1,12,05:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,13,06:00:00,1.9538085937500007,1.0,1.2,1.0,0.8582667619918749,0.6321205588285577,1,1
1,14,06:30:00,1.395507812500001,0.0,1.0,0.0,0.7522927843971695,0.0,1,1
1,15,07:00:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,1,1
1,16,07:30:00,1.9375000000000024,0.0,1.0,0.0,0.855936340898547,0.0,1,1
1,17,08:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,18,08:30:00,1.9375000000000024,0.0,1.0,0.0,0.855936340898547,0.0,1,1
1,19,09:00:00,1.5546875000000018,0.0,1.0,0.0,0.7887446103638981,0.0,1,1
1,20,09:30:00,1.0,1.0,1.0,1.0,0.6321205588285577,0.6321205588285577,1,1
1,21,10:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,22,10:30:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,1,1
1,23,11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,24,11:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,25,12:00:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,1,1
1,26,12:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,27,13:00:00,1.9375000000000024,0.0,1.0,0.0,0.855936340898547,0.0,1,1
1,28,13:30:00,1.5546875000000018,0.0,1.0,0.0,0.7887446103638981,0.0,1,1
1,29,14:00:00,1.0,1.0,1.0,1.0,0.6321205588285577,0.6321205588285577,1,1
1,30,14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,31,15:00:00,1.5546875000000018,1.0,1.0,1.0,0.7887446103638981,0.6321205588285577,1,1
1,32,15:30:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,1,1
1,33,16:00:00,1.0,1.9375000000000024,1.0,1.0,0.6321205588285577,0.855936340898547,1,1
1,34,16:30:00,1.9375000000000024,1.0,1.0,1.0,0.855936340898547,0.6321205588285577,1,1
1,35,17:00:00,1.9375000000000024,0.0,1.0,0.0,0.855936340898547,0.0,1,1
1,36,17:30:00,1.5546875000000018,1.0,1.0,1.0,0.7887446103638981,0.6321205588285577,1,1
1,37,18:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,38,18:30:00,0.0,1.9375000000000024,0.0,1.0,0.0,0.855936340898547,1,1
1,39,19:00:00,2.437719726562502,0.0,1.5,0.0,0.9126401711884756,0.0,1,1
1,40,19:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1,1
1,41,20:00:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,1,1
1,42,20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,43,21:00:00,0.0,2.0,0.0,2.0,0.0,0.8646647167633873,1,1
1,44,21:30:00,1.0,1.0,1.0,1.0,0.6321205588285577,0.6321205588285577,1,1
1,45,22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,46,22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,47,23:00:00,1.0,1.0,1.0,1.0,0.6321205588285577,0.6321205588285577,1,1
1,48,23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,1,00:00:00,3.0,0.0,3.0,0.0,0.950212931632136,0.0,0.014326790279184263,0.0
2,2,00:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.005319363393100157,0.0
2,3,01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11,05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12,05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14,06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15,07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16,07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17,08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18,08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19,09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20,09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,21,10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22,10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23,11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24,11:30:00,1.0,1.0,1.0,1.0,0.6321205588285577,0.6321205588285577,0.008275864449990466,0.009612554002567799
2,25,12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,26,12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27,13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28,13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,29,14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30,14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,31,15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,32,15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,33,16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,34,16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,35,17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,36,17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,37,18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,38,18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,39,19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,40,19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,41,20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,42,20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,43,21:00:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.003701077436580478
2,44,21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,45,22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,46,22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,47,23:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.004293832132381192,0.0
2,48,23:30:00,2.0,0.0,2.0,0.0,0.8646647167633873,0.0,0.01012851783151202,0.0
3,1,00:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.16842105263157886,0.0
3,2,00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,01:00:00,0.0,1.9375000000000024,0.0,1.0,0.0,0.855936340898547,0.0,0.28181818181818197
3,4,01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,7,03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,03:30:00,1.0,1.9375000000000024,1.0,1.0,0.6321205588285577,0.855936340898547,0.25,0.3568345323741007
3,9,04:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1.0,0.0
3,10,04:30:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.3333333333333333
3,11,05:00:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.2
3,12,05:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.2,0.0
3,13,06:00:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,1.0
3,14,06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,15,07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16,07:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.2195540308747855,0.0
3,17,08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,18,08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,19,09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20,09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21,10:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.2945067587000287,0.0
3,22,10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,23,11:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.16842105263157886,0.0
3,24,11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,25,12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26,12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,27,13:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.16842105263157886,0.0
3,28,13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,29,14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,30,14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,31,15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,32,15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,33,16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,34,16:30:00,0.0,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.5
3,35,17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,36,17:30:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.20253164556962014,1.0
3,37,18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,38,18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,39,19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,40,19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,41,20:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.5,0.0
3,42,20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,43,21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,44,21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,45,22:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.2,0.0
3,46,22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,47,23:00:00,1.0,0.0,1.0,0.0,0.6321205588285577,0.0,0.17021276595744667,1.0
3,48,23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,00:00:00,46.73923507690429,88.82280036926271,44.85,85.1,1.0,1.0,0.046717344173866644,0.062281630974608336
4,2,00:30:00,39.340704574584976,111.2410587310791,35.45,108.5,1.0,1.0,0.04923760820634402,0.061013682948514836
4,3,01:00:00,34.46347290039063,122.5142645263672,31.85,119.6,0.9999999999999988,1.0,0.05082910790805604,0.06255293317875273
4,4,01:30:00,25.783233337402343,114.94704757690432,23.95,113.3,0.9999999999936542,1.0,0.04850266670476581,0.058448004926669045
4,5,02:00:00,21.36376159667969,122.3,20.6,122.3,0.9999999994729688,1.0,0.0461206523533789,0.058550228538463533
4,6,02:30:00,15.654849243164062,116.4533334350586,14.5,114.7,0.9999998410775108,1.0,0.04368813720965766,0.05837295656408178
4,7,03:00:00,13.556495361328128,98.7,12.9,98.7,0.9999987043465056,1.0,0.04206577380766737,0.05100742489303526
4,8,03:30:00,10.114923095703125,76.1,9.8,76.1,0.9999595289273944,1.0,0.03992504796868491,0.04824682468863057
4,9,04:00:00,11.66794006347656,61.9,11.1,61.9,0.999991435973248,1.0,0.045160942809571086,0.04394423603426156
4,10,04:30:00,9.058074629934213,40.1,8.736842105263158,40.1,0.999883553035614,1.0,0.046566987895368395,0.04639564027693667
4,11,05:00:00,8.755081787109376,22.4,8.15,22.4,0.999842341898968,0.9999999998130163,0.0572187997424251,0.04509618833958677
4,12,05:30:00,11.74865234375,18.49034820556641,11.2,17.9,0.9999921000359074,0.9999999906729607,0.07467726560023516,0.06210725935861613
4,13,06:00:00,19.961750030517575,17.3687841796875,18.95,16.8,0.99999999785848,0.9999999713692402,0.09154022524139255,0.08009899179359732
4,14,06:30:00,27.15743515014649,19.01241333007812,26.35,17.9,0.9999999999983944,0.999999994466323,0.08823640939318687,0.10138471866103621
