,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_taxizone_id,dropoff_taxizone_id
2468752,2010000001,2010000001,VTS,1,,2010-01-06 21:48:00,2010-01-06 21:57:00,1,9.0,1.67,-74.002365,40.718704,-73.982544,40.727978,231,79.0
2475410,2010000001,2010000001,VTS,1,,2010-01-06 22:03:00,2010-01-06 22:23:00,1,20.0,5.69,-73.991241,40.735157,-73.940903,40.79282,234,74.0
2509205,2010000001,2010000001,VTS,1,,2010-01-06 23:35:00,2010-01-06 23:45:00,2,10.0,1.46,-73.992355,40.747849,-73.989899,40.733063,186,79.0
2830459,2010000001,2010000001,VTS,1,,2010-01-07 17:59:00,2010-01-07 18:23:00,1,24.0,11.39,-73.781586,40.644814,-73.865211,40.770691,132,138.0
2889637,2010000001,2010000001,VTS,1,,2010-01-07 19:44:00,2010-01-07 20:14:00,1,30.0,19.49,-73.776733,40.645439,-73.953232,40.775917,132,263.0
2911885,2010000001,2010000001,VTS,1,,2010-01-07 20:24:00,2010-01-07 20:31:00,2,7.0,1.57,-73.964745,40.760166,-73.980728,40.744419,229,170.0
2921889,2010000001,2010000001,VTS,1,,2010-01-07 20:44:00,2010-01-07 20:59:00,1,15.0,2.8,-73.992432,40.750301,-73.986603,40.721611,186,148.0
2929927,2010000001,2010000001,VTS,1,,2010-01-07 21:01:00,2010-01-07 21:14:00,2,13.0,1.88,-73.986679,40.7216,-74.002838,40.73402,148,249.0
2937834,2010000001,2010000001,VTS,1,,2010-01-07 21:18:00,2010-01-07 21:25:00,1,7.0,1.96,-73.999275,40.734814,-73.97821,40.751858,249,170.0
2941644,2010000001,2010000001,VTS,1,,2010-01-07 21:26:00,2010-01-07 21:33:00,1,7.0,1.34,-73.977074,40.752384,-73.976006,40.740368,162,137.0
2949919,2010000001,2010000001,VTS,1,,2010-01-07 21:44:00,2010-01-07 21:54:00,1,10.0,2.27,-73.99173,40.750355,-73.989517,40.726036,186,79.0
2964107,2010000001,2010000001,VTS,1,,2010-01-07 22:13:00,2010-01-07 22:16:00,1,3.0,0.62,-73.987396,40.729103,-73.987556,40.722546,79,148.0
2966997,2010000001,2010000001,VTS,1,,2010-01-07 22:19:00,2010-01-07 22:22:00,3,3.0,0.63,-73.989113,40.718945,-73.985359,40.726147,148,79.0
2968966,2010000001,2010000001,VTS,1,,2010-01-07 22:23:00,2010-01-07 22:35:00,1,12.0,1.87,-73.984268,40.725044,-74.00676,40.73822,79,158.0
2976806,2010000001,2010000001,VTS,1,,2010-01-07 22:40:00,2010-01-07 22:57:00,2,17.0,4.9,-74.005569,40.740726,-73.950981,40.777855,158,263.0
2990432,2010000001,2010000001,VTS,1,,2010-01-07 23:11:00,2010-01-07 23:20:00,1,9.0,3.6,-73.967957,40.758621,-73.948036,40.801353,229,41.0
3409790,2010000001,2010000001,VTS,1,,2010-01-08 20:01:00,2010-01-08 20:37:00,2,36.0,19.03,-73.784309,40.648602,-74.00618,40.739742,132,158.0
3435543,2010000001,2010000001,VTS,1,,2010-01-08 20:46:00,2010-01-08 21:11:00,1,25.0,6.47,-74.0019,40.740494,-73.997543,40.661057,90,228.0
3457436,2010000001,2010000001,VTS,1,,2010-01-08 21:27:00,2010-01-08 21:51:00,1,24.0,6.67,-73.99369,40.691624,-73.993011,40.770283,33,50.0
3471750,2010000001,2010000001,VTS,1,,2010-01-08 21:55:00,2010-01-08 22:06:00,2,11.0,2.46,-73.982567,40.765518,-73.989632,40.736729,163,234.0
3484796,2010000001,2010000001,VTS,1,,2010-01-08 22:19:00,2010-01-08 22:36:00,2,17.0,2.38,-73.988922,40.749184,-73.963844,40.757244,186,229.0
3495603,2010000001,2010000001,VTS,1,,2010-01-08 22:39:00,2010-01-08 22:44:00,1,5.0,1.71,-73.963226,40.758633,-73.950005,40.779629,229,263.0
3529678,2010000001,2010000001,VTS,1,,2010-01-08 23:41:00,2010-01-08 23:47:00,4,6.0,1.25,-73.987572,40.757519,-73.987991,40.768799,230,48.0
3540406,2010000001,2010000001,VTS,1,,2010-01-09 00:01:00,2010-01-09 00:14:00,2,13.0,2.37,-73.968964,40.754467,-73.991348,40.726749,229,79.0
3547743,2010000001,2010000001,VTS,1,,2010-01-09 00:15:00,2010-01-09 00:24:00,2,9.0,1.59,-73.993011,40.727112,-73.991905,40.744537,114,90.0
3576821,2010000001,2010000001,VTS,1,,2010-01-09 01:16:00,2010-01-09 01:25:00,1,9.0,1.95,-73.99173,40.749645,-73.968117,40.759064,186,229.0
3879594,2010000001,2010000001,VTS,1,,2010-01-09 18:08:00,2010-01-09 18:42:00,1,34.0,15.0,-73.790146,40.64415,-73.953972,40.613266,132,165.0
3936291,2010000001,2010000001,VTS,1,,2010-01-09 19:51:00,2010-01-09 20:28:00,1,37.0,13.45,-73.776657,40.645279,-73.978256,40.663013,132,181.0
3983404,2010000001,2010000001,VTS,1,,2010-01-09 21:22:00,2010-01-09 22:01:00,1,39.0,17.39,-73.801315,40.667763,-74.00885,40.738781,10,158.0
4004369,2010000001,2010000001,VTS,1,,2010-01-09 22:04:00,2010-01-09 22:08:00,1,4.0,0.7,-74.005661,40.740536,-74.005455,40.748257,158,246.0
4021099,2010000001,2010000001,VTS,1,,2010-01-09 22:35:00,2010-01-09 22:45:00,1,10.0,1.67,-73.974762,40.755592,-73.97892,40.737064,162,107.0
4031373,2010000001,2010000001,VTS,1,,2010-01-09 22:53:00,2010-01-09 22:56:00,2,3.0,1.04,-73.964668,40.755684,-73.957794,40.768402,229,141.0
4033650,2010000001,2010000001,VTS,1,,2010-01-09 22:57:00,2010-01-09 23:12:00,2,15.0,2.26,-73.958061,40.768505,-73.976089,40.741982,141,137.0
4046705,2010000001,2010000001,VTS,1,,2010-01-09 23:19:00,2010-01-09 23:39:00,3,20.0,7.86,-73.964699,40.755741,-73.948158,40.834038,229,244.0
4073233,2010000001,2010000001,VTS,1,,2010-01-10 00:03:00,2010-01-10 00:33:00,2,30.0,6.02,-73.99218,40.76981,-73.979973,40.727703,50,79.0
4092148,2010000001,2010000001,VTS,1,,2010-01-10 00:36:00,2010-01-10 00:47:00,2,11.0,3.26,-73.981056,40.729336,-73.960403,40.768856,79,141.0
4877389,2010000001,2010000001,VTS,1,,2010-01-11 19:55:00,2010-01-11 20:29:00,1,34.0,20.96,-73.78347,40.648674,-74.006691,40.707916,132,87.0
4897608,2010000001,2010000001,VTS,1,,2010-01-11 20:40:00,2010-01-11 21:00:00,1,20.0,6.74,-74.008781,40.707981,-73.97863,40.790871,87,238.0
4908132,2010000001,2010000001,VTS,1,,2010-01-11 21:05:00,2010-01-11 21:17:00,2,12.0,5.33,-73.981277,40.780941,-73.9459,40.836979,239,244.0
4910305,2010000001,2010000001,VTS,1,,2010-01-11 21:10:00,2010-01-11 21:13:00,2,3.0,0.73,-73.981277,40.780941,-73.984482,40.785946,239,239.0
