taxi_zone,time_stamp,time_interval,arr_weekday,arr_weekend,avg_weekday,avg_weekend,prob_pu_weekday,prob_pu_weekend,c_pu_weekday,c_pu_weekend
191,18,08:30:00,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,20.000000000000064,0.0
191,19,09:00:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,20,09:30:00,2.000000000000008,0.0,0.1,0.0,0.8646647167633884,0.0,40.000000000000156,0.0
191,21,10:00:00,2.000000000000008,0.0,0.1,0.0,0.8646647167633884,0.0,40.000000000000156,0.0
191,22,10:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
191,23,11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,24,11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,25,12:00:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
191,26,12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,27,13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,28,13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,29,14:00:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,30,14:30:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,31,15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,32,15:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
191,33,16:00:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
191,34,16:30:00,2.000000000000008,0.0,0.1,0.0,0.8646647167633884,0.0,40.000000000000156,0.0
191,35,17:00:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
191,36,17:30:00,1.9375781250000075,0.0,0.1,0.0,0.8559475954322792,0.0,38.75156250000015,0.0
191,37,18:00:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,38,18:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
191,39,19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,40,19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,41,20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
